FIRST_AUTHOR,PUBLICATION_YEAR,JOURNAL,SAMPLING_GEO,NGS_GEO,SAMPLING_YEAR(S),ZOONOTIC_AGENT,SPECIFIC_VIRUS,AGENT_TYPE,STUDY_AIM_1,STUDY_AIM_2,HUM_SAMPLE_SIZE,ANI_MULTISPECIES,ANI_SAMPLE_SIZE,LIVESTOCK_SAMPLE_SIZE,PET_SAMPLE_SIZE,POULTRY_SAMPLE_SIZE,WILDLIFE_SAMPLE_SIZE,ENV_DOMAIN,ARACHNIDA_SAMPLE_SIZE,INSECTA_SAMPLE_SIZE,BIOTIC-ENV_SAMPLE_SIZE,ABIOTIC_SAMPLE_SIZE,PRE-NGS_CULTURE,PRE-NGS_ANALYSIS,NUCLEIC_ACID,NUCLEIC_ACID_EXT,NUCLEIC_ACID_EXT_TYPE,LIBRARY_PREP_MAIN,NGS_PLATFORM_SHORT_PRIMARY,NGS_PLATFORM_LONG,ASSEMBLY/MAPPING_SOFTWARE,ASSEMBLY_TYPE,ALIGNMENT_SOFTWARE,PHYLO_SOFTWARE,PHYLO_MODEL,PHYLO_RESULTS,RECOMBINATION,PUBLIC_ARCHIVE,PUBLIC_DATA,PUBLIC_CODE
Leekitcharoenphon,2016,appl_environ_microbiol,Globe,N/S,1969-2012,Salmonella_enterica_typhimurium,N/A,bacterium_gram-,genomic_diversity_evolution,N/A,118,yes,197,145,0,51,1,0,0,0,0,0,N/S,N/S,DNA,N/S,N/S,N/S,Illumina_HiSeq,no,Velvet,de_novo,BWA,PhyML+BEAST,MaxLik+Bayes,temporally-resolved,RecHMM,ENA,raw_reads,no
Liao,2020,bmc_infect_dis,China,N/S,2013-2016,Staphylococcus_aureus,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,40,N/A,0,0,0,0,0,20,0,0,20,0,yes,PCR,DNA,Tiangen_TIANamp,manual,Illumina_NexteraXT,Illumina_HiSeq,no,SOAPdenovo,de_novo,MUMmer,N/S,NeiJo,relatedness,no,NCBI,genome_assemblies,no
Lifshitz,2018,microb_drug_resist,Israel,Israel,2013-2014,Escherichia_coli,N/A,bacterium_gram-,cross-domain_transmission,N/A,26,no,44,44,0,0,0,0,0,0,0,0,yes,genotyping,DNA,N/S,N/S,N/S,Illumina_HiSeq,no,SPAdes,de_novo,N/S,PHYLOViZ,MinSpan,genetic_distance,no,no,N/A,no
Lu,2018,virus_evol,Vietnam,N/S,2012-2016,Kobuvirus_genus,No,virus_ssRNA,genomic_diversity_evolution,cross-domain_transmission,6,yes,124,7,1,0,116,0,0,0,0,0,no,N/S,RNA,N/S,N/S,N/S,Illumina_HiSeq,no,CLCgenomics,de_novo,ClustalW,BEAST,Bayes,temporally-resolved,no,NCBI,consensus_sequences,no
Matsuno,2013,j_virol,Globe,N/S,1954-1992,Phlebovirus_genus,No,virus_ssRNA,genomic_diversity_evolution,N/A,1,N/A,0,0,0,0,0,5,5,0,0,0,yes,serology,RNA,Ambion_TRIreagent+Qiagen_RNeasy,manual,Roche_GSFLX,Roche_454,no,CLCgenomics,de_novo,MUSCLE,MEGA+RAxML,NeiJo+MaxLik,relatedness,no,NCBI,consensus_sequences,no
Mazuet,2017,plos_curr,France,N/S,2015,Clostridium_baratii,N/A,bacterium_gram+,outbreak_epidemiology,N/A,3,no,1,1,0,0,0,0,0,0,0,0,yes,PCR,DNA,Qiagen_QIAampStool+MoBio_PowerFood,manual,NEB_NEBNextUltra,Illumina_MiSeq,no,CLCgenomics,N/S,Blastn,PhyML,MaxLik,relatedness,no,NCBI,genome_assemblies,no
McLauchlin,2020,j_food_prot,UK,UK,2013-2017,Listeria_monocytogenes,N/A,bacterium_gram+,outbreak_epidemiology,N/A,9,no,34,0,0,34,0,0,0,0,0,0,yes,serotyping,DNA,Qiagen_QIAsymphony,automated,Illumina_NexteraXT,Illumina_HiSeq,no,Bowtie2,ref_genome,SnapperDB,RAxML,MaxLik,relatedness,Gubbins,no,N/A,no
McRobb,2015,j_clin_microbiol,Australia,SouthKorea,1994-2014,Burkholderia_pseudomallei,N/A,bacterium_gram-,outbreak_epidemiology,N/A,7,N/A,0,0,0,0,0,6,0,0,0,6,yes,qPCR+genotyping,DNA,Qiagen_DNeasyb&t,manual,N/S,Illumina_HiSeq,no,N/S,N/S,SPANDx,PAUP,MaxPar,relatedness,no,NCBI,raw_reads,no
Michelacci,2018,int_j_med_microbiol,Italy,Italy,2017,Escherichia_coli,N/A,bacterium_gram-,outbreak_epidemiology,N/A,1,N/A,0,0,0,0,0,1,0,0,1,0,yes,qPCR+genotyping,DNA,Omega_EZNAbac,manual,N/S,IonTorrent_IonPGM,no,SPAdes,de_novo,ClustalW,kSNP3,NeiJo+MaxLik,relatedness,no,NCBI,genome_assemblies,no
Montealegre,2020,msphere,Bangladesh,N/S,2016,Escherichia_coli,N/A,bacterium_gram-,cross-domain_transmission,GWAS_pathogenicity_AMR,14,yes,27,13,0,14,0,19,0,0,19,0,yes,phenotyping,DNA,Qiagen_DNeasyb&t,manual,Illumina_NexteraXT,Illumina_HiSeq,no,SPAdes,de_novo,Snippy,IQ-TREE,MaxLik,relatedness,no,ENA,raw_reads,no
Mourier,2021,bmc_biol,Brazil,N/S,2007-2016,Plasmodium_spp.,N/A,protozoa,genomic_diversity_evolution,N/A,8,yes,2,0,0,0,2,0,0,0,0,0,N/S,N/S,DNA,N/S,N/S,Illumina_TruSeqNano+Tecan_Ovation+PacBio_SMRTbell,Illumina_HiSeq,PacBio_RSII,SPAdes,ref_genome,MAFFT+ClustalW,SplitsTree+RAxML+PhyML,NeiJo+MaxLik,relatedness,no,ENA,raw_reads,no
Neumann,2019,j_clin_microbiol,Germany,N/S,1997-2017,Enterococcus_faecalis,N/A,bacterium_gram+,diagnostics_development_surveillance,N/A,119,yes,12,12,0,0,0,21,0,0,0,21,yes,N/S,DNA,Qiagen_DNeasyb&t,manual,Illumina_NexteraXT,Illumina_MiSeq,no,SPAdes,de_novo,BWA,PhyML+FastTree,MaxLik,relatedness,SNPfilter,NCBI,raw_reads,no
Norman,2015,front_cell_infect_microbiol,NorthAmerica,N/S,N/S,Escherichia_coli,N/A,bacterium_gram-,GWAS_pathogenicity_AMR,N/A,182,yes,88,88,0,6,2,6,0,3,0,3,N/S,PCR,DNA,Qiagen_GenomicTips,manual,Roche_GSFLX,Roche_454,no,Geneious,N/S,ClustalW,SplitsTree+MEGA,NeiJo,relatedness,no,no,N/A,no
Nyaga,2015,infect_genet_evol,Africa,N/S,2005-2010,Rotavirus_genus,Rotavirus_A,virus_dsRNA,genomic_diversity_evolution,N/A,13,yes,2,2,0,0,0,0,0,0,0,0,N/S,serology,RNA,N/S,N/S,N/S,IonTorrent_IonPGM,no,CLCgenomics,de_novo,MUSCLE,MEGA,MaxLik,relatedness,no,NCBI,consensus_sequences,no
Okutani,2019,bmc_microbiol,Japan,N/S,2009-2018,Bacillus_cereus,N/A,bacterium_gram+,genomic_diversity_evolution,cross-domain_transmission,5,yes,10,9,0,0,1,25,0,0,0,25,yes,phenotyping,DNA,N/S,N/S,NEB_NEBNextUltra,Illumina_MiSeq,no,CLCgenomics,de_novo,Parsnp,MEGA,MaxLik,relatedness,no,DDBJ,raw_reads,no
Pietsch,2018,bmc_genomics,Germany,N/S,2008-2016,Escherichia_coli,N/A,bacterium_gram-,cross-domain_transmission,N/A,46,yes,118,14,0,104,0,0,0,0,0,0,yes,phenotyping+genotyping,DNA,Qiagen_DNeasyb&t+Invitrogen_PureLink,manual,Illumina_NexteraXT,Illumina_MiSeq,no,A5-miniseq,N/S,BWA,SeqSphere++RAxML,NeiJo+MaxLik,relatedness,no,ENA,raw_reads,no
Pirolo,2020,appl_environ_microbiol,Italy,N/S,2018,Staphylococcus_aureus,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,14,no,53,53,0,0,0,0,0,0,0,0,N/S,N/S,DNA,Qiagen_QIAampDNAmini,manual,Illumina_NexteraXT,Illumina_MiSeq,no,N/S,de_novo,NASP,IQ-TREE,MaxLik,relatedness,Gubbins,NCBI,raw_reads,no
Price,2016,appl_environ_microbiol,Australia,SouthKorea+USA,1989-2014,Burkholderia_pseudomallei,N/A,bacterium_gram-,genomic_diversity_evolution,N/A,278,yes,9,9,0,0,0,29,0,0,0,29,yes,N/S,DNA,N/S,N/S,N/S,Illumina_HiSeq,no,SPANDx,N/S,SPANDx,PAUP+Gubbins,MaxPar+MaxLik,relatedness,Gubbins,NCBI,raw_reads,no
Price,2012,mbio,Globe,N/S,1993-2010,Staphylococcus_aureus,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,25,yes,63,55,0,8,0,0,0,0,0,0,N/S,N/S,DNA,N/S,N/S,NEB_NEBNextUltra,Illumina_GAIIx,no,N/S,ref_genome,BWA,PAUP,MaxPar,relatedness,no,no,N/A,no
Randad,2016,emerg_infect_dis,USA,N/S,2011-2016,Staphylococcus_aureus,N/A,bacterium_gram+,cross-domain_transmission,GWAS_pathogenicity_AMR,39,no,10,10,0,0,0,0,0,0,0,0,N/S,N/S,DNA,N/S,N/S,Illumina_NexteraXT+Roche_KAPAhyperplus,Illumina_MiSeq,no,SPAdes,de_novo,NASP,PhyML,MaxLik,relatedness,no,NCBI,genome_assemblies,no
Richards,2019,mol_biol_evol,Globe,N/S,2009-2014,Streptococcus_agalactiae,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,162,yes,76,66,3,0,7,0,0,0,0,0,N/S,N/S,DNA,N/S,N/S,N/S,Illumina_HiSeq,no,SPAdes+Velvet,de_novo,REALPHY,RAxML+BAPS,MaxLik+Bayes,relatedness,BratNextGen,no,N/A,no
Richardson,2018,nat_ecol_evol,Globe,UK,1986-2012,Staphylococcus_aureus,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,119,yes,54,39,3,0,12,0,0,0,0,0,N/S,N/S,DNA,N/S,N/S,N/S,Illumina_HiSeq,no,Velvet,de_novo,SMALT,RAxML+BEAST,MaxLik+Bayes,temporally-resolved,BratNextGen,ENA,raw_reads,no
Rokney,2018,front_microbiol,Israel,N/S,2003-2012,Campylobacter_jejuni,N/A,bacterium_gram-,cross-domain_transmission,GWAS_pathogenicity_AMR,239,yes,23,2,0,21,0,0,0,0,0,0,N/S,N/S,DNA,Qiagen_QIAsymphony,automated,Illumina_NexteraXT,Illumina_N/S,no,SPAdes,de_novo,N/S,N/S,MinSpan,genetic_distance,no,no,N/A,no
Rushton-Green,2019,appl_environ_microbiol,NewZealand,N/S,1996-2009,Enterococcus_spp.,N/A,bacterium_gram+,cross-domain_transmission,GWAS_pathogenicity_AMR,74,no,157,0,0,157,0,0,0,0,0,0,yes,N/S,DNA,Merck_GenEluteBac,manual,Illumina_NexteraXT+PacBio_N/S,Illumina_NextSeq,PacBio_RSII,SPAdes,ref_genome,Snippy-core,RAxML+BactDating,MaxLik+Bayes,temporally-resolved,Gubbins,NCBI,genome_assemblies,yes
Sahay,2020,virus_res,India,N/S,2019,Orthonairovirus_genus,CCHF,virus_ssRNA,outbreak_epidemiology,N/A,3,no,121,121,0,0,0,95,95,0,0,0,N/S,serology+PCR,RNA,AB_MagMAX,automated,N/S,Illumina_N/S,no,CLCgenomics,ref_genome,N/S,N/S,MaxLik,relatedness,no,no,N/A,no
Shenoy,2020,infect_control_hosp_epidemiol,USA,N/S,2018-2019,Acinetobacter_baumannii,N/A,bacterium_gram-,outbreak_epidemiology,N/A,5,N/A,0,0,0,0,0,5,0,0,0,5,yes,MALDI-TOF-MS,DNA,Qiagen_QIAampDNAmini,manual,Illumina_NexteraXT,Illumina_iSeq100,no,SPAdes,de_novo,BWA,RAxML,MaxLik,relatedness,Gubbins,no,N/A,no
Sia,2020,microb_genom,UK,N/S,2014-2017,Salmonella_enterica,N/A,bacterium_gram-,GWAS_pathogenicity_AMR,N/A,29586,N/S,769,N/S,N/S,N/S,N/S,937,0,0,N/S,N/S,N/S,N/S,DNA,Qiagen_QIAsymphony,automated,Illumina_NexteraXT+ONT_EXP-NBD103+ONT_SQK-LSK108,Illumina_HiSeq,ONT_MinION,SPAdes,N/S,BWA,RAxML,MaxLik,relatedness,no,NCBI,raw_reads,no
Sieber,2019,sci_rep,Denmark,N/S,2014-2016,Staphylococcus_aureus,N/A,bacterium_gram+,cross-domain_transmission,N/A,73,no,183,183,0,0,0,0,0,0,0,0,N/S,N/S,DNA,N/S,N/S,Illumina_NexteraXT,Illumina_NextSeq,no,N/S,N/S,NASP,IQ-TREE,MaxLik,relatedness,no,ENA,raw_reads,yes
Simon,2018,food_microbiol,Germany,N/S,2004-2014,Salmonella_enterica_derby,N/A,bacterium_gram-,diagnostics_development_surveillance,N/A,46,yes,8,7,0,1,0,0,0,0,0,0,yes,serotyping+phage_typing+genotyping,DNA,Merck_GenEluteBac,manual,Illumina_NexteraXT+PacBio_N/S,Illumina_MiSeq,PacBio_RSII,BWA,ref_genome,Geneious,SeqSphere++EnteroBase+Geneious,MinSpan+MaxLik,relatedness,no,no,N/A,no
Söderlund,2019,euro_surveill,Sweden,N/S,2009-2016,Salmonella_enterica_typhimurium,N/A,bacterium_gram-,outbreak_epidemiology,N/A,10,yes,30,0,15,0,15,0,0,0,0,0,N/S,genotyping,DNA,Qiagen_DNeasyb&t+Qiagen_BioRobot,automated,Illumina_NexteraXT,Illumina_MiSeq,no,Bowtie,ref_genome,N/S,SplitsTree,NeiJo,relatedness,no,ENA,raw_reads,no
Strachan,2015,sci_rep,UK,UK,1996-2011,Escherichia_coli,N/A,bacterium_gram-,cross-domain_transmission,N/A,74,yes,51,51,0,0,0,20,0,0,0,20,yes,phage_typing,DNA,Promega_WizardPurification,manual,N/S,Illumina_HiSeq,no,Velvet,N/S,MUSCLE,MEGA,NeiJo,relatedness,no,no,N/A,no
Sun,2021,arch_virol,China,N/S,2013-2017,Alphainfluenzavirus_genus,Influenza_A,virus_ssRNA,genomic_diversity_evolution,N/A,121,no,3,0,0,3,0,30,0,0,0,30,N/S,qPCR,RNA,Qiagen_QIAampViralRNAmini,manual,IonTorrent_IonXpress,IonTorrent_IonPGM,no,Geneious,ref_genome,MUSCLE,RAxML,MaxLik,relatedness,no,GISAID,consensus_sequences,no
Teixeira,2014,bmc_genomics,N/A,N/S,N/S,Sporothrix_spp.,N/A,ascomycota,genomic_diversity_evolution,N/A,1,no,1,0,1,0,0,0,0,0,0,0,yes,N/S,DNA,Qiagen_DNeasyPlant,manual,N/S,Roche_454,no,Newbler+CeleraAssembler,N/S,Mauve+MAFFT,RAxML+r8s,MaxLik,relatedness,no,NCBI,genome_assemblies,no
Timofeev,2019,plos_one,Russia,Russia,2015-2016,Bacillus_anthracis,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,1,no,1,0,0,0,1,5,0,0,0,5,yes,qPCR,DNA,Merck_GenEluteBac+Syntol_K-Sorb,manual,IonTorrent_PGM400,IonTorrent_IonPGM,no,Bionumerics,ref_genome,Bionumerics,N/S,MinSpan,genetic_distance,Gubbins,NCBI,raw_reads,no
Tsui,2018,msphere,Canada,N/S,1985-2014,Giardia_duodenalis,N/A,protozoa,cross-domain_transmission,N/A,38,yes,22,2,3,0,17,29,0,0,0,29,no,N/S,DNA,Qiagen_QIAampDNAmini,manual,Illumina_NexteraXT,Illumina_MiSeq,no,SPAdes+Bowtie2,ref_genome,Blastn,FastTree,MaxLik,relatedness,SplitsTree,NCBI,genome_assemblies,no
Uhlemann,2017,mbio,Globe,N/S,2003-2013,Staphylococcus_aureus,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,217,no,6,6,0,0,0,57,0,0,0,57,yes,N/S,DNA,Qiagen_QIAampDNAmini,manual,N/S,Illumina_HiSeq,no,BWA,ref_genome,BWA,RAxML+BEAST,MaxLik+Bayes,temporally-resolved,BratNextGen,ENA,raw_reads,no
van_Hoek,2019,bmc_genomics,Netherlands,N/S,2008-2017,Escherichia_coli,N/A,bacterium_gram-,cross-domain_transmission,N/A,129,yes,14,1,0,0,13,2,0,0,0,2,N/S,N/S,DNA,N/S,N/S,N/S,Illumina_HiSeq,no,CLCgenomics,de_novo,CLCgenomics,SeqSphere+,NeiJo+MaxLik,relatedness,no,ENA,raw_reads,no
Veo,2019,viruses,Italy,N/S,2015-2018,Flavivirus_genus,West_Nile,virus_ssRNA,outbreak_epidemiology,genomic_diversity_evolution,11,yes,13,1,0,0,12,2,0,2,0,0,no,N/S,RNA,Qiagen_QIAampViralRNAmini,automated,Illumina_NexteraXT,Illumina_MiSeq,no,Geneious,ref_genome,ClustalW,BEAST,Bayes,temporally-resolved,RDP4,no,N/A,no
Vogler,2013,mbio,Madagascar,N/S,1991-1999,Yersinia_pestis,N/A,bacterium_gram-,genomic_diversity_evolution,N/A,3,N/A,0,0,0,0,0,1,0,1,0,0,N/S,N/S,DNA,N/S,N/S,NEB_NEBNextUltra,Illumina_GAIIx,no,N/S,ref_genome,MUMmer,N/S,MaxLik,genetic_distance,no,NCBI,raw_reads,no
Vu_Thi_Ngoc,2022,microbiol_spectr,Vietnam,N/S,2015-2017,Escherichia_coli,N/A,bacterium_gram-,GWAS_pathogenicity_AMR,N/A,62,yes,32,N/S,N/S,N/S,N/S,13,0,0,3,10,yes,MALDI-TOF-MS,DNA,N/S,N/S,Illumina_NexteraXT++ONT_SQK-LSK108,Illumina_MiSeq,ONT_MinION,SPAdes-Shovill+Flye,de_novo,Roary,IQ-TREE,MaxLik,relatedness,no,ENA,raw_reads,no
Wang,2021,msystems,China,China,2010-2018,Staphylococcus_aureus,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,138,yes,379,264,0,115,0,156,0,0,156,0,yes,N/S,DNA,In-house_sodium/tris/edta,manual,NEB_NEBNextUltra,Illumina_NovaSeq,no,SPAdes,N/S,Roary,IQ-TREE+BEAST,MaxLik+Bayes,temporally-resolved,no,NCBI,raw_reads,yes
Wang,2022,food_res_int,China,China,N/S,Salmonella_enterica_rissen,N/A,bacterium_gram-,cross-domain_transmission,N/A,16,yes,22,20,0,2,0,1,0,0,0,1,yes,serotyping,DNA,Tiangen_TIANamp,manual,N/S,Illumina_HiSeq,no,SPAdes,de_novo,N/S,Parsnp,MaxLik,relatedness,no,ENA,raw_reads,no
Webb,2022,j_clin_microbiol,Australia,N/S,2000-2019,Burkholderia_pseudomallei,N/A,bacterium_gram-,genomic_diversity_evolution,diagnostics_development_surveillance,51,N/A,0,0,0,0,0,75,0,0,0,75,yes,qPCR+genotyping,DNA,N/S,N/S,N/S,Illumina_N/S,no,MGAP_pipeline,N/S,SPANDx,PAUP,MaxPar,relatedness,no,NCBI,raw_reads,no
Wilson,2016,plos_one,USA,N/S,2004-2012,Salmonella_enterica_tennessee,N/A,bacterium_gram-,outbreak_epidemiology,genomic_diversity_evolution,13,yes,4,3,0,1,0,54,0,0,46,8,yes,N/S,DNA,Qiagen_DNeasyb&t,manual,Roche_GSFLX+PacBio_SMRTbell,Roche_454,PacBio_RSII,Newbler+CLCgenomics+SMRT,de_novo,NovoAlign,GARLI,MaxLik,relatedness,no,NCBI,raw_reads,yes
Wittwer,2018,front_cell_infect_microbiol,Switzerland,N/S,1996-2015,Francisella_tularensis_holartica,N/A,bacterium_gram-,cross-domain_transmission,N/A,24,yes,21,0,0,0,21,14,14,0,0,0,yes,qPCR,DNA,Qiagen_EZ1,automated,Illumina_TruSeqDNAFree,Illumina_HiSeq,no,SPAdes,N/S,MAFFT,PhyML,MaxLik,relatedness,no,NCBI,raw_reads,no
Xin,2019,anaerobe,China,N/S,2015,Clostridium_botulinum,N/A,bacterium_gram+,outbreak_epidemiology,N/A,1,N/A,0,0,0,0,0,1,0,0,1,0,yes,MALDI-TOF-MS,DNA,Qiagen_DNeasyb&t,manual,IonTorrent_OT2,IonTorrent_IonPGM,no,Newbler,de_novo,CLCgenomics,N/S,MaxLik,relatedness,no,NCBI,genome_assemblies,no
Yan,2014,plos_one,China,N/S,1956-2009,Yersinia_pestis,N/A,bacterium_gram-,outbreak_epidemiology,N/A,5,yes,4,0,2,0,2,1,0,1,0,0,yes,N/S,DNA,In-house_phe/chl/sds,manual,N/S,Illumina_GAIIx,no,SOAPdenovo,de_novo,SOAPaligner+MUMmer,MEGA+PhyML+RAxML,NeiJo+MaxLik,relatedness,no,NCBI,raw_reads,no
Yang,2022,nat_microbiol,China,N/S,2002-2018,Vibrio_parahaemolyticus,N/A,bacterium_gram-,outbreak_epidemiology,GWAS_pathogenicity_AMR,2686,N/A,0,0,0,0,0,956,0,0,956,0,yes,serotyping,DNA,In-house_sodium/tris/edta,manual,NEB_NEBNextUltra,Illumina_HiSeq,no,N/S,N/S,Snippy,GrapeTree+FastTree+IQ-TREE+BEAST,MinSpan+MaxLik+Bayes,temporally-resolved,Gubbins,NCBI,raw_reads,no
Yang,2019,influenza_other_respi_viruses,China,N/S,2017,Alphainfluenzavirus_genus,Influenza_A,virus_ssRNA,outbreak_epidemiology,genomic_diversity_evolution,1,N/A,0,0,0,0,0,7,0,0,N/S,N/S,yes,qPCR,RNA,Qiagen_Rneasy,manual,N/S,Illumina_MiSeq,no,CLCgenomics,de_novo,MUSCLE,RAxML,MaxLik,relatedness,no,GISAID,consensus_sequences,no
Yang,2022,lancet_microbe,China,N/S,2021-2022,Alphainfluenzavirus_genus,Influenza_A,virus_ssRNA,genomic_diversity_evolution,cross-domain_transmission,1,no,15,0,15,0,0,0,0,0,0,0,N/S,qPCR,RNA,Qiagen_QIAampViralRNAmini,manual,N/S,N/S,N/S,N/S,N/S,MUSCLE,RAxML+BEAST,MaxLik+Bayes,temporally-resolved,no,GISAID,consensus_sequences,no
Yu,2021,msystems,China,N/S,2011-2016,Staphylococcus_aureus,N/A,bacterium_gram+,genomic_diversity_evolution,GWAS_pathogenicity_AMR,3,yes,14,12,0,2,0,0,0,0,0,0,N/S,N/S,DNA,N/S,N/S,N/S,Illumina_HiSeq,no,SPAdes,N/S,Mauve,BactDating,Bayes,temporally-resolved,Gubbins,NCBI,raw_reads,no
Zhang,2016,front_microbiol,China,N/S,2004-2012,Listeria_monocytogenes,N/A,bacterium_gram+,genomic_diversity_evolution,N/A,12,yes,3,3,0,0,0,2,0,0,2,0,N/S,N/S,DNA,N/S,N/S,Illumina_NexteraXT,Illumina_MiSeq,no,CLCgenomics,de_novo,Mauve,GARLI,MaxLik,relatedness,no,NCBI,genome_assemblies,no
Zhang,2020,microorganisms,USA,N/S,N/S,Escherichia_coli,N/A,bacterium_gram-,genomic_diversity_evolution,GWAS_pathogenicity_AMR,1,N/A,0,0,0,0,0,3,0,0,2,1,yes,N/S,DNA,Zymo_MiniPrep,manual,PacBio_SMRTbell,no,PacBio_RSII,Flye,de_novo,N/S,Bionumerics,N/S,relatedness,no,NCBI,genome_assemblies,no
